symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,INE712K01011,Dyes And Pigments,Chemicals,Commodities,Dyes And Pigments,2015-09-10,10.0,32337691,Small,Unknown,1696809000.0,24637333.33333333,1721446333.3333333,110831333.33333331,117939000.0,3.6866666667,256.63,256.39,140708,56.124,33.36,0.8767,,0.002512,-0.002706,7.3413,3.4298,0.087
SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products,Construction Materials,Commodities,Cement & Cement Products,1995-04-26,10.0,36080748,Large,IN-L,45836033333.333336,1437633333.3333333,47273666666.66666,2831366666.6666665,1829366666.6666667,244.83,26414.92,26408.32,40219,1585.7601,19.02,0.9003,,0.000806,-0.000112,3.9581,9.8364,0.0121
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,INE232A01011,Cement & Cement Products,Construction Materials,Commodities,Cement & Cement Products,2020-01-28,10.0,147814278,Small,Unknown,1695902333.3333333,15314333.333333334,1711216666.6666667,106642333.33333331,22754000.0,0.1533333333,92.75,92.35,518200,14.768,-36.59,-1.3947,,-0.001664,-0.001945,9.8413,5.9991,0.0648
SRPL,Shree Ram Proteins Limited,INE008Z01012,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Edible Oil,2020-09-23,1.0,428400000,Micro,Unknown,0.0,8433333.333333334,8433333.333333334,732333.3333333334,-55847666.66666666,-0.26,1.2,1.2,2314684,0.2216,82.35,7.0664,,0.015734,0.000308,1.627,2.9748,0.225
SHREERAMA,Shree Rama Multi-Tech Limited,INE879A01019,Packaging,Capital Goods,Industrials,Packaging,2000-03-13,5.0,133468005,Small,Unknown,495578333.3333333,3076666.6666666665,498655000.0,55228000.0,49165000.0,0.37,39.9,39.81,957709,4.8644,43.53,5.0692,,0.024044,-0.004104,0.7143,2.1056,0.0
RAMANEWS,Shree Rama Newsprint Limited,INE278B01020,Paper & Paper Products,Forest Materials,Commodities,Paper & Paper Products,2006-09-20,10.0,147522032,Micro,Unknown,109352666.66666669,10710666.666666666,120063333.33333331,3728000.0,-336441000.0,-0.4966666667,20.04,19.99,215258,2.2618,89.84,1.5951,,0.003562,-0.002542,8.6508,3.1078,0.0968
RENUKA,Shree Renuka Sugars Limited,INE087H01022,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Sugar,2005-10-31,1.0,2128489773,Mid,Unknown,27344000000.0,283666666.6666667,27627666666.666668,522333333.3333333,-1310000000.0,-0.6133333333,41.83,41.65,15292880,6.9221,-37.4,-0.9296,,-0.001549,-0.00282,9.8413,4.8886,0.1377
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,Packaging,Capital Goods,Industrials,Packaging,2024-09-12,10.0,81570852,Small,Unknown,1472511333.3333333,18457333.33333333,1490968666.6666667,92504666.66666669,83766666.66666667,0.9,66.68,66.32,353194,10.566,-46.83,-2.4674,,-0.00432,-0.003733,5.3571,2.9155,0.209
SVLL,Shree Vasu Logistics Limited,INE00CE01017,Logistics Solution Provider,Services,Services,Logistics Solution Provider,2023-04-21,10.0,11493700,Micro,Unknown,350644666.6666667,3612000.0,354256666.6666667,49229333.333333336,3380333.333333333,0.34,275.53,274.17,17964,77.409,106.62,2.4274,,0.005896,-0.002371,1.0052,2.9936,0.0429
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01011,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Other Agricultural Products,2023-02-28,2.0,91470000,Micro,Unknown,733545666.6666666,200333.3333333333,733746000.0,7256666.666666667,9915333.333333334,0.11,23.32,23.2,1007544,7.2495,-42.77,-1.1933,,-0.005219,-0.006463,2.8175,1.8933,0.1571
