Symbol,QuartersAvailable,Avg_RevenueFromOperations,Avg_OtherIncome,Avg_Income,Avg_EmployeeBenefitExpense,Avg_FinanceCosts,Avg_DepreciationDepletionAndAmortisationExpense,Avg_OtherExpenses,Avg_Expenses,Avg_ProfitBeforeTax,Avg_TaxExpense,Avg_ProfitLossForPeriod,Avg_BasicEarningsLossPerShareFromContinuingOperations,Avg_DilutedEarningsLossPerShareFromContinuingOperations,Avg_ComprehensiveIncomeForThePeriod,Avg_PaidUpValueOfEquityShareCapital,Avg_FaceValueOfEquityShareCapital,Avg_DilutedEarningsLossPerShare,AvailableQuarters
MANGCHEFER,3,8526988666.666667,63106666.666666664,8590095333.333334,180548000.0,205314333.33333334,191188666.66666666,2614714666.6666665,7975650666.666667,614444666.6666666,188840666.66666666,425604000.0,3.59,3.59,423676333.3333333,1185487000.0,10.0,,"first,second,third"
MANGLMCEM,3,3926971333.3333335,157742333.33333334,4084713666.6666665,332937333.3333333,167535333.33333334,191052666.66666666,2675432000.0,3941300333.3333335,143413333.33333334,49565333.333333336,93848000.0,3.4133333333333336,3.4133333333333336,93750333.33333333,274973000.0,10.0,,"first,second,third"
MANINDS,3,7622900000.0,121200000.0,7744100000.0,187700000.0,215666666.66666666,115733333.33333333,967200000.0,7353533333.333333,390566666.6666667,107133333.33333333,283433333.3333333,4.406666666666667,4.243333333333333,285398666.6666667,323700000.0,5.0,,"first,second,third"
MANINFRA,3,2714231333.3333335,297097000.0,3011328333.3333335,169182333.33333334,31940666.666666668,19950333.333333332,1387960333.3333333,2040407666.6666667,970920666.6666666,164908333.33333334,718856666.6666666,1.8466666666666667,1.8033333333333335,731729666.6666666,745818666.6666666,2.0,,"first,second,third"
MANKIND,3,30666433333.333332,957833333.3333334,31624266666.666668,6633066666.666667,796466666.6666666,1352200000.0,7419233333.333333,24943100000.0,6681166666.666667,1426000000.0,5288233333.333333,13.049999999999999,13.030000000000001,5307000000.0,404600000.0,1.0,,"first,second,third"
MANOMAY,3,1725926333.3333333,2813666.6666666665,1728740000.0,88210000.0,79477000.0,76771666.66666667,436204333.3333333,1657691666.6666667,71048333.33333333,17970000.0,53078333.333333336,2.94,2.94,53794333.333333336,180487000.0,10.0,,"first,second,third"
MANORAMA,3,1793453666.6666667,38258666.666666664,1831712666.6666667,116058000.0,90747666.66666667,52434666.666666664,315151666.6666667,1516225666.6666667,315486666.6666667,79759333.33333333,235727333.33333334,3.9533333333333336,3.94,235666333.33333334,119198000.0,2.0,,"first,second,third"
MANORG,3,1267394666.6666667,1090666.6666666667,1268485333.3333333,101832333.33333333,46410666.666666664,50956666.666666664,358649000.0,1235063333.3333333,33422000.0,8553666.666666666,24868333.333333332,2.893333333333333,2.893333333333333,24773666.666666668,85644000.0,10.0,,"first,second,third"
MANUGRAPH,3,104739333.33333333,1884333.3333333333,106623666.66666667,48413666.666666664,6188666.666666667,1998000.0,30533666.666666668,153297333.33333334,-85210666.66666667,-74333.33333333333,-85136333.33333333,-1.5333333333333334,-1.5333333333333334,-84674000.0,20682000.0,2.0,,"first,second,third"
MANYAVAR,3,3396823333.3333335,210333333.33333334,3607156666.6666665,148173333.33333334,138616666.66666666,378663333.3333333,752156666.6666666,2324513333.3333335,1282643333.3333333,324753333.3333333,957890000.0,3.94,3.94,950706666.6666666,242903333.33333334,1.0,,"first,second,third"
