symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength
NAGREEKEXP,Nagreeka Exports Limited,INE123B01028,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2007-06-18,5.0,31249250,Micro,Unknown,1377772666.6666667,1876333.3333333333,1379649000.0,74326333.33333333,32929666.666666668,17891333.333333332,187167000.0,11626333.333333334,386333.3333333333,11240000.0,0.36,0.36,20262333.33333333,156298000.0,5.0,33.73,33.38,116149,5.4003,-19.57,-0.1163,34.79,32.49,32.25,25.94,-0.000346,-0.005851,1.060094,-0.0512,5.9127,2.166,0.0338
NAHARCAP,Nahar Capital and Financial Services Limited,INE049I01012,Investment Company,Financial Services,Financial Services,Investment Company,2008-03-11,5.0,16746167,Small,Unknown,138085666.66666666,351666.6666666667,138437333.33333334,18206333.33333333,882666.6666666666,2659000.0,6721666.666666667,109865666.66666669,37251000.0,95333666.66666669,5.6933333333,5.6933333333,296386666.6666667,83731000.0,5.0,301.36,299.2,20112,33.7164,-21.05,-0.3702,308.0,294.43,290.4,229.27,-0.000615,-0.005658,1.057372,-0.1518,1.9793,4.0508,0.0486
NAHARINDUS,Nahar Industrial Enterprises Limited,INE289A01011,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2005-12-15,10.0,43205581,Small,Unknown,3799815666.6666665,106880333.33333331,3906696000.0,442911333.3333333,103268333.33333331,114175000.0,1045195666.6666666,13988666.666666666,8174333.333333333,7275666.666666667,0.1666666667,0.1666666667,7306333.333333333,432056000.0,10.0,132.54,131.99,100741,18.3967,-21.96,-0.3833,135.52,129.76,126.2,98.49,-0.000648,-0.004735,1.036239,-0.1601,9.8413,4.1205,0.0526
NAHARPOLY,Nahar Poly Films Limited,INE308A01027,Packaging,Capital Goods,Industrials,Packaging,2007-03-23,5.0,24587991,Small,Unknown,1697657666.6666667,37401666.66666666,1735059333.3333333,70156666.66666667,26164000.0,81375000.0,245437000.0,105446333.33333331,31076666.666666668,110781333.33333331,4.5066666667,4.5066666667,163882666.66666666,122940000.0,5.0,238.93,237.66,49052,44.8039,2.32,0.3579,245.39,231.83,195.75,200.3,0.000875,-0.003188,1.023395,0.1593,3.5621,3.3622,0.0769
NAHARSPING,Nahar Spinning Mills Limited,INE290A01027,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2007-03-23,5.0,36065303,Small,Unknown,8029875333.333333,76958666.66666667,8106834000.0,784538666.6666666,179704333.33333334,238908000.0,1446064666.6666667,-37370666.66666666,-3833333.3333333335,-33537333.33333333,-0.93,-0.93,70647333.33333333,180327000.0,5.0,271.51,270.52,63867,39.8669,-21.61,-0.2591,278.43,265.17,283.85,222.51,-0.000508,-0.004909,1.001493,-0.1254,6.2854,3.7278,0.0931
NGIL,Nakoda Group of Industries Limited,INE236Y01012,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,2021-08-20,10.0,12725142,Micro,Unknown,107590000.0,43666.6666666667,107633666.66666669,2639666.6666666665,3826000.0,3006666.6666666665,8900333.333333334,-5313666.666666667,-1323000.0,-3990666.6666666665,-0.25,-0.25,-3979333.3333333335,140279666.66666666,10.0,41.99,41.61,106702,5.7442,-43.32,-0.8932,43.11,40.63,56.85,32.22,-0.001798,-0.005094,1.054677,-0.4441,9.8413,2.6741,0.0648
NSIL,Nalwa Sons Investments Limited,INE023A01030,Investment Company,Financial Services,Financial Services,Investment Company,2003-11-17,10.0,5136163,Small,Unknown,376467333.3333333,33333.3333333333,376500666.6666667,1522000.0,91000.0,51666.6666666667,5470333.333333333,315278333.3333333,76247000.0,241446333.3333333,47.0066666667,47.0066666667,11125556666.666666,51362000.0,10.0,5422.71,5401.81,22784,1622.2044,111.66,1.5531,5555.11,5280.36,3355.4,7102.1,0.00395,-0.002565,1.028372,0.9321,2.1428,3.1834,0.0424
NDL,Nandan Denim Limited,INE875G01048,Other Textile Products,Textiles,Consumer Discretionary,Other Textile Products,2012-03-23,1.0,1441471680,Small,Unknown,8326753333.333333,20034333.33333333,8346787666.666667,214898333.3333333,92228333.33333331,135995666.66666666,500178333.3333333,104493333.33333331,28330000.0,76163333.33333333,0.21,0.21,76521333.33333333,1441473000.0,4.0,28.74,28.55,3847814,20.8903,-91.22,-0.7264,29.59,27.91,43.15,3.79,-0.003771,-0.006088,1.071794,-0.6486,6.8651,2.9409,0.2616
JAIPURKURT,Nandani Creation Limited,INE696V01013,Garments & Apparels,Textiles,Consumer Discretionary,Garments & Apparels,2021-09-02,10.0,17261606,Micro,Unknown,166213666.66666666,2102333.333333333,160833500.0,12405666.666666666,6889000.0,5413500.0,49126333.333333336,14280000.0,4191000.0,9411000.0,0.585,0.585,9507000.0,154857333.33333334,10.0,41.45,41.09,137440,4.8388,10.57,0.569,42.84,39.73,44.38,49.07,0.001565,-0.006067,1.108946,0.2458,6.2698,2.2332,0.1083
NH,Narayana Hrudayalaya Ltd.,INE410P01011,Hospital,Healthcare,Healthcare,Hospital,2016-01-06,10.0,204360804,Large,IN-S,10575773333.333334,150696666.66666666,10726470000.0,2100146666.6666667,258103333.3333333,502756666.6666667,3983603333.3333335,1543570000.0,260246666.66666663,1283323333.3333333,6.3166666667,6.3166666667,1394966666.6666667,2043610000.0,10.0,1312.38,1311.34,512191,125.149,33.94,1.1382,1332.49,1291.48,1269.15,1699.95,0.00136,-0.00051,1.025183,0.336,9.8413,5.778,0.0202
